Sample	Spectrum	Background	Delta										Helium			Argon	
681	1779	182	1597														
682	1750.499	182	1568.499														
683	1680.499	182	1498.499														
684	1455.501	182	1273.501														
685	1599.003	182	1417.003														
686	1518	182	1336														
687	1586.002	182	1404.002														
688	1478.001	182	1296.001														
689	1464.998	182	1282.998														
690	1398.998	182	1216.998														
691	1520.998	182	1338.998														
692	1459.499	182	1277.499														
693	1588.496	182	1406.496														
694	1470	182	1288														
695	1306	182	1124														
696	1453.001	182	1271.001														
697	1283.998	182	1101.998														
698	1347.999	182	1165.999														
699	1323.499	182	1141.499														
700	1310.997	182	1128.997														
701	1227.5	182	1045.5														
702	1305	182	1123														
703	2224.501	182	2042.501														
704	4298	182	4116														
705	5558.005	182	5376.005														
706	6178.995	182	5996.995														
707	4805	182	4623														
708	2934.004	182	2752.004														
709	1698.005	182	1516.005														
710	997.501	182	815.501														
711	1175.5	182	993.5														
712	1145.498	182	963.498														
713	1078	182	896														
714	1061.999	182	879.999														
715	984	182	802														
716	1038.001	182	856.001														
717	1106.004	182	924.004														
718	1549.501	182	1367.501														
719	10234	182	10052														
720	50887.98	182	50705.98														
721	85623.98	182	85441.98														
722	99846.49	182	99664.49														
723	91245.01	182	91063.01														
724	46852.99	182	46670.99														
725	13539.5	182	13357.5														
726	3401.001	182	3219.001														
727	1468.997	182	1286.997														
728	1190	182	1008														
729	1149.502	182	967.502														
730	920.0046	182	738.0046														
731	931.5	182	749.5														
732	824.4993	182	642.4993														
733	890.9999	182	708.9999														
734	945.9966	182	763.9966														
735	1140.505	182	958.505														
736	1049.002	182	867.002														
737	1090.498	182	908.498														
738	921.4972	182	739.4972														
739	542.0002	182	360.0002														
740	178.9996	182	-3.0004														
